group,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
    Bermuda,741,28,-378,-16,378,501,-144,2750,-161,10338,2965,-6467,-91,-3470,-597,-5380,7047,-4839,4522,1084,5371,-1473,-4521,3516,-1962,-933,23222,-17225,31970,20072,4114,4690
    Curacao[2],n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,--,243,464,76,-84,143,-158,-101,27,-135,52,-65
    Netherlands Antilles[3],4456,-3883,1121,-686,1190,-985,-1242,-2318,-2502,-89,911,468,-97,-330,-578,1723,-919,2333,1338,169,792,--,--,--,--,--,--,0,0,0,n.s.,n.s.
"    United Kingdom Islands, Caribbean[4]",-2552,1522,36,4882,1378,2444,1841,3636,-1469,4137,3800,12961,2094,3757,-3936,-42,3845,8302,3674,2481,5627,14859,3474,10124,13507,11574,3082,7541,5102,13387,-15447,6172
    Other,-10,-459,223,-135,-502,99,-219,365,-221,1312,366,2921,4320,4690,-810,-953,-480,-3121,-836,2714,-735,378,-195,-937,104,126,2915,4019,-1037,1978,-203,682
      Anguilla,0,0,0,0,0,0,0,(*),(*),(*),(*),0,0,0,n.s.,n.s.,n.s.,0,0,(D),-4,(D),1,5,(D),(D),(D),6,5,3,2,1
      Antigua and Barbuda,0,0,1,-1,-1,-2,-1,-3,-1,-1,(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),(*),1,(D),-2,(*),1,-1,(*),(*),(*),(*)
      Aruba,0,(D),2,(D),8,1,8,-7,(*),-3,3,(*),(D),(*),(*),-1,1,-1,(D),(D),-2,-2,3,1,(D),-1,-1,5,-1,-4,1,-1
      Bahamas,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
      Barbados,103,-34,213,194,-532,178,-247,395,-302,1284,290,3075,4169,4699,-861,-992,-354,-3135,-855,2731,-764,337,-80,-1128,-30,195,3048,(D),-1075,1905,-80,139
      Cuba,0,0,0,0,-3,(D),(D),0,(D),0,0,0,(D),3,(*),-2,-3,4,3,(*),-2,(D),(*),(D),(D),(*),(*),(*),(*),(*),(*),(*)
      Dominica,0,0,0,0,0,0,0,0,(*),(*),0,0,0,0,n.s.,n.s.,n.s.,n.s.,0,0,0,(*),(*),(*),(D),-1,(*),(*),(*),(*),0,0
      Dominican Republic,0,0,(*),(D),(D),(D),(D),2,2,-3,61,-28,16,-41,-10,22,-126,-47,30,68,-76,-29,2,-72,-5,-3,8,231,-115,49,-47,(D)
"      French Islands, Caribbean",(*),(*),1,1,1,1,1,0,0,1,1,-3,(D),5,-4,0,0,-7,(*),-1,1,-3,-1,(D),(D),(*),(*),(*),(*),(D),(D),(D)
      Grenada,(D),(D),(*),(*),(*),(*),(*),(*),5,(*),(*),(*),(D),(*),(*),0,(*),(*),(*),(*),(*),(*),1,(*),(*),0,0,(D),(D),(D),(D),(D)
      Haiti,0,0,(*),-1,(*),1,1,(*),1,-1,(*),(*),1,(*),(*),(*),(*),(*),(*),0,0,0,0,(D),(D),(*),(D),-1,(*),(*),1,1
      Jamaica,(D),(D),7,(D),(D),(D),2,-4,(*),-4,2,(D),(D),1,-10,10,-6,12,-2,-1,4,9,-8,-4,3,-3,(*),-2,48,6,5,3
"      Netherlands Islands, Caribbean[2]",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,--,--,--,-1,-88,367,31,(D),(D),-14,(D),(*),(D),(D)
